Unnamed: 0,MMSI,type,length,beam,range,bearing,timestamp,lat,long,"lat, ","lon,",length
AIS,574000150,0,0,0,22931.1,5.70116,62209175,0.364396,1.86153,20.87835287,106.6578124,0
AIS,574000171,0,0,0,33076.9,2.49849,61614712,0.357233,1.86698,20.4679432,106.9700744,0
AIS,574000240,70,106,17,20281.1,5.80933,62212560,0.364222,1.8621,20.86838341,106.690471,106
AIS,574000520,33,79,13,27000.0,5.63846,62202133,0.364776,1.86093,20.90012527,106.623435,79
AIS,574000820,35,66,13,16009.8,6.13596,61780149,0.363876,1.86326,20.84855907,106.7569341,66
AIS,574000990,70,79,13,43030.2,5.65489,62314150,0.366851,1.8594,21.01901401,106.5357724,79
AIS,574001001,0,0,0,20953.0,5.73856,61733701,0.364202,1.86183,20.86723749,106.6750012,0
AIS,574001207,0,0,0,21543.7,2.38859,61980854,0.358921,1.86612,20.56465848,106.9208001,0
AIS,574001530,70,79,12,26132.1,5.58946,62303402,0.364542,1.86084,20.88671806,106.6182783,79
AIS,574001620,81,98,15,23976.6,5.65996,62201201,0.364445,1.8613,20.88116036,106.6446344,98
AIS,574002005,20,0,0,13754.0,0.179277,61975009,0.363514,1.86406,20.82781799,106.8027708,0
AIS,574002008,0,0,0,16877.4,6.05665,61935796,0.363971,1.86302,20.85400217,106.7431831,0
AIS,574002226,0,0,0,22313.0,2.34414,62206323,0.358942,1.86633,20.56586169,106.9328322,0
AIS,574002320,80,106,16,13600.3,0.125283,61666695,0.363508,1.86394,20.82747422,106.7958953,106
AIS,574002860,70,75,12,19344.1,1.83234,62307619,0.360603,1.86679,20.66102998,106.9591882,75
AIS,574002928,200,10,6,28424.7,2.18532,62283456,0.358815,1.86755,20.55858513,107.002733,10
AIS,574002938,0,0,0,20975.9,2.01185,62113467,0.359983,1.86683,20.6255066,106.9614801,0
AIS,574002990,80,92,15,19315.9,6.14335,62317007,0.364392,1.8632,20.87812369,106.7534964,92
AIS,574003050,0,0,0,13731.9,0.173163,62117477,0.363513,1.86405,20.8277607,106.8021978,0
AIS,574003155,200,10,6,1913.76,0.641931,62140810,0.36163,1.86384,20.71987275,106.7901657,10
AIS,574003260,0,29,11,17174.1,0.932186,62281300,0.362996,1.86597,20.79813878,106.9122057,29
AIS,574003270,80,103,16,17887.2,0.793688,62030076,0.363358,1.86579,20.81887985,106.9018925,103
AIS,574003360,81,97,16,21124.8,1.59722,62308992,0.3613,1.8672,20.70096514,106.9826795,97
AIS,574003400,90,32,9,17124.6,6.03603,62310233,0.363996,1.86295,20.85543456,106.7391724,32
AIS,574003420,80,97,16,18758.2,2.67228,62307831,0.358763,1.86507,20.55560575,106.8606395,97
AIS,574003940,52,41,10,45542.0,3.27495,62317815,0.354305,1.86264,20.30018116,106.7214108,41
AIS,574004380,80,144,23,18424.4,0.514926,62315272,0.363906,1.86518,20.85027794,106.866942,144
AIS,574004660,0,0,0,15285.2,6.20947,61927608,0.363782,1.86346,20.84317326,106.7683933,0
AIS,574005690,52,28,13,17012.8,0.919163,62295913,0.363008,1.86592,20.79882633,106.9093409,28
AIS,574005800,70,172,28,16159.5,6.11773,61732535,0.363892,1.86321,20.8494758,106.7540693,172
AIS,574005940,70,172,28,21568.2,2.65651,62305168,0.358395,1.86534,20.5345209,106.8761094,172
