,ID radar,range,bearbing,timestamp,h?p nh?t,length,lat ,lon,lat_new,lon_new,,,,,,
Radar,1002,11458.7,1.17166,61899330,1,17,,,20.74610279,106.8808931,,,,,,
Radar,1002,11459.5,1.17145,61909318,1,12,,,20.7461255,106.8808912,,,,,,
Radar,1002,11459.9,1.17143,61919320,0,0,,,20.7461288,106.8808939,,,,,,
Radar,1002,11458.6,1.17094,61929332,1,22,,,20.74617072,106.8808614,,,,,,
Radar,1002,11458.5,1.17086,61939317,0,0,,,20.74617796,106.8808571,,,,,,
Radar,1002,11459.4,1.1725,61949310,1,20,,,20.74602555,106.8809352,,,,,,
Radar,1002,11459.6,1.17299,61959330,0,0,,,20.74597975,106.8809579,,,,,,
Radar,1002,11459.7,1.17339,61969330,0,0,,,20.74594213,106.8809758,,,,,,
Radar,1002,11459.8,1.17293,61979341,1,17,,,20.74598614,106.8809571,,,,,,
Radar,1002,11459.8,1.1726,61989331,1,15,,,20.74601745,106.880943,,,,,,
Radar,1002,11459.8,1.17243,61999338,0,0,,,20.74603358,106.8809358,,,,,,
Radar,1002,11459.9,1.17202,62009339,1,15,,,20.74607283,106.8809192,,,,,,
Radar,1002,11458.6,1.17201,62019350,1,20,,,20.74606925,106.8809072,,,,,,
Radar,1002,11459.1,1.17185,62029364,1,17,,,20.74608617,106.8809048,,,,,,
Radar,1002,11459.4,1.17181,62039345,1,17,,,20.74609101,106.8809058,,,,,,
Radar,1002,11457.5,1.17169,62049357,1,47,,,20.74609576,106.8808838,,,,,,
Radar,1002,11457.3,1.17134,62059349,1,20,,,20.74612825,106.8808671,,,,,,
Radar,1002,11458.3,1.17097,62069350,1,17,,,20.74616683,106.8808601,,,,,,
Radar,1002,11458,1.17024,62079357,1,17,,,20.74623498,106.8808261,,,,,,
Radar,1002,11457.9,1.17121,62089357,1,20,,,20.74614267,106.8808668,,,,,,
Radar,1002,11457.7,1.1718,62099346,1,17,,,20.74608602,106.8808903,,,,,,
Radar,1002,11458.7,1.17188,62109361,1,42,,,20.74608193,106.8809026,,,,,,
Radar,1002,11459.4,1.173,62119363,1,17,,,20.7459781,106.8809566,,,,,,
Radar,1002,11459.8,1.17358,62129363,0,0,,,20.74592444,106.8809848,,,,,,
Radar,1002,11459.9,1.1725,62139366,1,17,,,20.74602729,106.8809397,,,,,,
Radar,1002,11460.1,1.17226,62149368,0,0,,,20.74605076,106.8809312,,,,,,
Radar,1002,11460,1.17149,62159366,1,17,,,20.74612346,106.8808974,,,,,,
Radar,1002,11459.9,1.17088,62169386,1,67,,,20.74618096,106.8808704,,,,,,
Radar,1002,11459.6,1.17031,62179362,0,0,,,20.74623395,106.8808433,,,,,,
Radar,1002,11459.7,1.17179,62189377,1,35,,,20.74609395,106.8809076,,,,,,
Radar,1002,11459.8,1.17294,62199365,1,17,,,20.74598519,106.8809575,,,,,,
Radar,1002,11459.9,1.1744,62209372,1,17,,,20.74584693,106.8810206,,,,,,
Radar,1002,11459.9,1.17309,62219379,1,17,,,20.7459713,106.8809648,,,,,,
Radar,1002,11460,1.17204,62229395,1,15,,,20.74607128,106.8809209,,,,,,
Radar,1002,11460,1.17219,62239389,1,17,,,20.74605705,106.8809273,,,,,,
Radar,1002,11460.1,1.17205,62249385,0,0,,,20.74607068,106.8809222,,,,,,
Radar,1002,11458.7,1.17119,62259389,1,17,,,20.74614737,106.880873,,,,,,
Radar,1002,11458.3,1.17074,62269376,0,0,,,20.74618863,106.8808502,,,,,,
Radar,1002,11457.8,1.17114,62279381,1,17,,,20.74614896,106.8808629,,,,,,
Radar,1002,11456.1,1.17231,62289394,1,17,,,20.74603207,106.8808979,,,,,,
Radar,1002,11455.2,1.17217,62299397,1,67,,,20.74604221,106.880884,,,,,,
Radar,1002,11455.9,1.17208,62309401,1,17,,,20.74605319,106.8808863,,,,,,
Radar,1002,11456,1.17222,62319400,0,0,,,20.74604026,106.8808932,,,,,,
Radar,1003,17654.9,1.19651,61620973,1,15,,,20.764084,106.9373096,,,,,,
Radar,1003,17654.9,1.19579,61629304,1,17,,,20.76419027,106.937265,,,,,,
Radar,1003,17654.9,1.19637,61639286,1,2,,,20.76410467,106.937301,,,,,,
Radar,1003,17654.9,1.19729,61649307,1,17,,,20.76396884,106.9373579,,,,,,
Radar,1003,17654.9,1.1972,61659321,1,2,,,20.76398213,106.9373524,,,,,,
Radar,1003,17656.1,1.19731,61669332,1,10,,,20.76396982,106.9373699,,,,,,
