,MMSI,type,length,beam,range,bearing,timestamp,lat,long,"lat, ","lon,",,
AIS,574014296,70,79,15,24737.1,5.60701,61593723,0.364417,1.86105,20.87955608,106.6303105,,
AIS,357787000,70,182,28,25364.9,2.63098,61593770,0.357916,1.86573,20.50707622,106.8984547,,
AIS,574112659,60,37,9,40110.6,0.818033,61593999,0.36569,1.86857,20.95249361,107.0611747,,
AIS,574212312,0,0,0,28749,2.94498,61594356,0.356964,1.86459,20.45253064,106.8331375,,
AIS,477547400,71,148,24,13923.1,0.356121,61594483,0.363438,1.86447,20.82346351,106.826262,,
AIS,574014611,70,109,20,27403.5,6.15787,61594834,0.365657,1.86308,20.95060285,106.7466209,,
AIS,574003940,52,41,10,45613.2,3.27587,61594993,0.354295,1.86263,20.2996082,106.7208378,,
AIS,574567219,30,26,4,48818.8,2.76686,61595266,0.354257,1.86664,20.29743096,106.9505939,,
AIS,574014575,7,37,10,16987.9,0.878362,61595366,0.363091,1.86585,20.80358188,106.9053302,,
AIS,574012768,70,79,13,60616.4,3.36589,61595396,0.352113,1.8614,20.17458881,106.650364,,
AIS,574014116,80,83,14,29205.5,2.75886,61595425,0.357137,1.86548,20.46244281,106.8841308,,
AIS,538007558,70,199,32,50615.3,1.94897,61595564,0.358446,1.87154,20.53744298,107.2313432,,
AIS,538008860,70,141,24,14409.1,0.261353,61595564,0.363575,1.86428,20.83131304,106.8153758,,
AIS,563158400,70,147,23,20050.5,1.67248,61595658,0.361068,1.867,20.68767252,106.9712204,,
AIS,636021429,0,0,0,23787.6,2.15956,61595876,0.359315,1.86697,20.58723302,106.9695015,,
AIS,574013144,70,79,13,27240.1,6.25199,61596302,0.365663,1.86351,20.95094662,106.7712581,,
AIS,574000000,52,28,13,24841.9,5.62732,61596329,0.364479,1.86111,20.88310842,106.6337482,,
AIS,574123561,200,10,6,26750.6,2.19589,61596438,0.358931,1.86729,20.56523144,106.9878361,,
AIS,995741871,147,5,5,18024.7,1.42409,61596720,0.361802,1.86664,20.72972762,106.9505939,,
AIS,574000000,52,28,13,24775.8,5.63364,61597421,0.364486,1.86113,20.88350949,106.6348941,,
AIS,440301000,70,148,24,21351.2,1.6306,61597698,0.361187,1.86723,20.69449071,106.9843984,,
AIS,574013405,0,0,0,37331.7,5.56616,61597699,0.365804,1.85953,20.95902533,106.5432209,,
AIS,372765000,0,0,0,58018.3,1.92363,61597714,0.358229,1.87278,20.5250098,107.30239,,
AIS,574103928,0,0,0,28420.7,2.67091,61597828,0.357413,1.86581,20.47825644,106.9030384,,
AIS,574002860,70,75,12,19863.1,1.74015,61597999,0.360863,1.86694,20.67592688,106.9677826,,
AIS,574014992,70,74,14,21038.9,1.5502,61598090,0.361456,1.86718,20.70990328,106.9815336,,
AIS,574013074,70,77,10,27160.9,1.78626,61598195,0.360475,1.8681,20.65369612,107.0342457,,
AIS,574962000,80,92,16,36279,5.55015,61598448,0.365619,1.85957,20.94842561,106.5455127,,
AIS,574912288,0,0,0,34395,5.53828,61598452,0.365356,1.85973,20.93335682,106.55468,,
AIS,574401033,70,99,16,18683.6,1.66727,61598497,0.361106,1.86677,20.68984976,106.9580423,,
AIS,574014918,0,0,0,20320.4,5.79654,61598504,0.364209,1.86206,20.86763856,106.6881792,,
AIS,995741834,141,2,2,16078.9,0.701613,61598694,0.363317,1.86539,20.81653073,106.8789741,,
AIS,574013507,70,79,12,57190.3,3.91727,61598732,0.354974,1.85695,20.33851204,106.3953978,,
AIS,352003621,70,92,14,22989.3,5.68996,61599037,0.364381,1.86149,20.87749343,106.6555206,,
AIS,477548900,71,172,28,13951,0.0792561,61599155,0.363573,1.86384,20.83119844,106.7901657,,
AIS,995741828,141,2,2,15292.8,0.643845,61599332,0.363309,1.86519,20.81607236,106.867515,,
AIS,574003420,80,97,16,19957.3,2.75566,61599497,0.358487,1.86491,20.53979211,106.8514722,,
AIS,574014096,0,0,0,60401.1,1.065,61599634,0.36597,1.87253,20.96853643,107.288066,,
AIS,574512000,80,70,10,39864.5,0.865342,61600173,0.365443,1.86875,20.93834155,107.071488,,
AIS,574111524,65,86,13,40037,0.819068,61600193,0.365677,1.86857,20.95174877,107.0611747,,
AIS,574013714,70,71,11,18378.6,0.510174,61600225,0.363907,1.86516,20.85033524,106.8657961,,
