Unnamed: 0,ID radar,range,bearbing,timestamp,h?p nh?t,length,lat ,lon,lat_new,lon_new,length
Radar,1071,5450.54,1.99631,62320704,1,17.0,,,20.68588871,106.8271762,25
Radar,1072,5130.22,2.03359,62320775,0,0.0,,,20.68552522,106.8235852,85
Radar,1073,5049.71,2.10601,62320933,1,20.0,,,20.6829642,106.8212131,75
Radar,1074,11553.7,2.19395,62321034,1,57401444217.0,,,20.64552933,106.8696003,57401444295
Radar,1075,50430.3,2.20596,62321046,1,35200358717.0,,,20.43731843,107.1693524,35200358732
Radar,1076,23782.6,2.15983,62320975,1,50.0,,,20.58740966,106.9694051,75
Radar,1077,4875.08,2.15919,62320976,1,92.0,,,20.68179355,106.8184444,92
Radar,1078,22970.5,2.19183,62321034,1,57401242417.0,,,20.58603186,106.9589055,57401242432
Radar,1079,13354.7,2.17594,62320990,1,55.0,,,20.63785328,106.8849762,90
Radar,1080,5303.31,2.41599,62041269,0,0.0,,,20.67046036,106.8132964,97
Radar,1081,28029.7,2.09664,62320915,1,57449100045.0,,,20.57971383,107.0123151,60
Radar,1082,35737.8,2.2636,62321128,1,17.0,,,20.50105485,107.0435824,5745617292
Radar,1083,21153.8,2.26464,62321140,1,31226100030.0,,,20.58457836,106.9356797,35
Radar,1084,22566.8,2.20116,62321034,1,57401448522.0,,,20.58660896,106.9545683,57401448540
Radar,1085,23949.7,2.32,62311224,1,35381000025.0,,,20.55957571,106.9479127,35381000032
Radar,1086,12502.4,2.35297,62311284,1,57439500027.0,,,20.626941,106.8646728,57439500045
Radar,1087,3924.97,2.36714,62311301,1,17.0,,,20.68089713,106.8058598,72
Radar,1088,4506.8,2.39005,62311360,0,0.0,,,20.67652012,106.8090507,242
Radar,1089,5743.47,2.41697,62311412,1,177.0,,,20.66746884,106.816061,5740000030
Radar,1090,3495.86,2.4182,62311422,1,97.0,,,20.68256091,106.8017225,97
Radar,1091,4194.08,2.48058,62311465,1,275.0,,,20.67635975,106.8042271,305
Radar,1092,33113.3,2.5297,62311555,1,17.0,,,20.46261007,106.9621656,25
Radar,1093,18480.4,2.55244,62311594,1,40.0,,,20.56807608,106.8781153,57400060035
Radar,1094,4432.55,2.60738,61801556,0,0.0,,,20.67182977,106.8011739,90
Radar,1095,22849.7,2.47084,62311465,1,57401476427.0,,,20.54530764,106.9158958,57401476440
Radar,1096,28453.6,2.6024,61801556,0,0.0,,,20.48676203,106.9197995,97
Radar,1097,25627.5,2.6552,62311754,1,35778700095.0,,,20.50258449,106.8945426,97
Radar,1098,45102.7,2.68131,62311790,1,2.0,,,20.3431039,106.9719017,2
Radar,1099,21521.4,2.65787,62311759,1,57.0,,,20.53495156,106.875622,82
Radar,1100,3683.06,2.58613,61671614,0,0.0,,,20.67798882,106.7981519,225
Radar,1101,42107.8,2.73884,62311891,1,2.0,,,20.35810711,106.9379974,5745662022
Radar,1102,17847.7,2.74779,61661781,0,0.0,,,20.55804415,106.8452663,10
Radar,1103,18670.5,2.67185,62311790,1,57400342075.0,,,20.55654735,106.8606618,80
Radar,1104,31017.4,2.78284,62311952,1,57401411662.0,,,20.44520624,106.8840853,80
Radar,1105,91509.0,2.78842,61701869,0,0.0,,,19.93480039,107.0834563,42
Radar,1106,38537.1,2.8347,62312045,1,5745654322.0,,,20.37609167,106.8913029,5745654322
Radar,1107,29686.9,2.83392,61691902,0,0.0,,,20.45194233,106.8658389,2
Radar,1108,28662.4,2.94607,62312224,1,57421231217.0,,,20.45352837,106.8329768,5742123122
Radar,1109,46060.9,2.96524,62312260,1,5745653822.0,,,20.29874731,106.8571046,5745653822
Radar,1110,37669.7,3.00617,62312330,1,57422525217.0,,,20.37080706,106.8283407,5742252522
Radar,1111,88133.3,3.01313,62312330,1,17.0,,,19.92091241,106.8879297,22
Radar,1112,27786.1,3.11154,61662337,0,0.0,,,20.45660707,106.7875181,37
Radar,1113,2133.97,3.12973,62012456,0,0.0,,,20.68693166,106.7797431,47
Radar,1114,2257.11,3.16936,61982507,0,0.0,,,20.68583194,106.7788982,60
Radar,1115,2413.64,3.19056,61772487,0,0.0,,,20.68444399,106.7783654,72
Radar,1116,34093.7,3.2394,61672559,0,0.0,,,20.40129624,106.7475273,2
Radar,1117,25049.4,3.25814,61692597,0,0.0,,,20.48260498,106.7515268,17
Radar,1118,45395.2,3.27644,62312749,1,57400394022.0,,,20.30201182,106.7208913,57400394032
Radar,1119,47769.6,3.30163,62312801,1,25.0,,,20.28246392,106.7063955,32
Radar,1120,54568.3,3.32428,62312822,1,20.0,,,20.22406415,106.6842956,57401304575
Radar,1121,27518.9,3.33161,62312830,1,37136800090.0,,,20.46334411,106.7295846,37136800095
Radar,1122,1891.72,3.31829,61932762,0,0.0,,,20.68937106,106.7763066,47
Radar,1123,4239.91,3.50979,61903017,0,0.0,,,20.67056513,106.7648443,27
Radar,1124,25747.9,3.36201,62312883,1,20.0,,,20.48039965,106.725438,35
Radar,1125,24990.9,3.36694,62312897,1,20.0,,,20.48727999,106.7258736,32
Radar,1126,61512.1,3.37228,62312897,1,57401276817.0,,,20.16816781,106.6444321,57401276842
Radar,1127,10197.1,3.38119,62312914,1,70.0,,,20.61711504,106.7562608,80
Radar,1128,2692.82,3.37641,62012851,0,0.0,,,20.68257394,106.7734832,90
Radar,1129,2876.51,3.42684,61922916,0,0.0,,,20.68130413,106.7717266,32
Radar,1130,2037.66,3.45756,62042973,0,0.0,,,20.68870162,106.7734194,32
Radar,1131,7596.51,3.47317,61932976,0,0.0,,,20.64157675,106.7557514,92
Radar,1132,1862.7,3.47123,62032996,0,0.0,,,20.69026806,106.7737096,185
Radar,1133,50338.9,3.49298,62313095,1,2.0,,,20.28153122,106.6131044,2
Radar,1134,55493.0,3.4889,62313096,1,20.0,,,20.2373643,106.5981104,52
Radar,1135,16837.6,1.27318,61789455,0,9957418780.0,,,20.75045406,106.9340902,9957418780
Radar,1136,18680.1,1.49401,62219877,0,0.0,,,20.7189725,106.9583645,77
Radar,1137,19501.8,1.43546,62219798,0,5380058970.0,,,20.72973684,106.9650717,5380058970
Radar,1138,24222.4,1.55464,62320010,1,17.0,,,20.70961534,107.0120878,47
Radar,1139,30845.1,1.57797,62320044,1,2.0,,,20.7041123,107.0757112,40
Radar,1140,36316.7,1.61,61679961,0,0.0,,,20.69331359,107.127997,2
Radar,1141,23234.8,1.6816,62320206,1,17.0,,,20.68302026,107.0012655,62
Radar,1142,31986.5,1.74013,62320306,1,30.0,,,20.65767614,107.0822867,30
Radar,1143,26122.6,1.80025,62320397,1,17.0,,,20.65272712,107.0237916,20
Radar,1144,37886.0,1.83795,62320458,1,70.0,,,20.61625615,107.130429,95
Radar,1145,24631.6,2.06694,61680722,0,0.0,,,20.60076788,106.9875261,2
Radar,1146,10438.3,2.26808,62311135,1,41337643027.0,,,20.64588776,106.8563456,57
Radar,1147,30044.4,2.33214,62311246,1,17.0,,,20.51990278,106.9883692,57419783617
Radar,1148,23054.3,2.32109,61671142,0,0.0,,,20.56488856,106.9414519,17
Radar,1149,29001.8,2.39071,61671208,0,0.0,,,20.51563255,106.9695277,17
Radar,1150,48031.9,2.74487,62311908,1,5745672192.0,,,20.30813582,106.9577341,5745672192
Radar,1151,47581.4,2.75148,62311908,0,0.0,,,20.31078532,106.9532727,2
Radar,1152,29268.7,2.79498,61671831,0,0.0,,,20.45881239,106.8749868,17
Radar,1153,19603.5,2.78436,61751861,0,0.0,,,20.54111712,106.8453316,40
Radar,1154,25416.3,2.81054,61691895,0,0.0,,,20.49018001,106.8588367,2
Radar,1155,28406.8,2.96829,61732165,0,0.0,,,20.454741,106.8265411,45
Radar,1156,25111.7,3.07599,61672320,0,0.0,,,20.48100404,106.7953093,2
Radar,1157,27235.5,3.18015,61672469,0,0.0,,,20.4616223,106.7694177,17
Radar,1158,36035.4,3.22478,61732511,0,0.0,,,20.38350939,106.7507451,2
Radar,1159,2457.49,3.3711,61672781,0,0.0,,,20.68460295,106.774131,22
Radar,1160,9842.5,3.41109,62312962,0,0.0,,,20.62087512,106.7543339,70
Radar,1161,41250.7,3.4926,62223072,0,5745608790.0,,,20.35813455,106.6432868,5745608792
Radar,1162,2753.82,3.39872,61702884,0,0.0,,,20.6821754,106.7727747,70
Radar,1163,7966.93,3.47774,62123036,0,0.0,,,20.63853765,106.754263,80
Radar,1164,12208.8,1.28474,62319577,1,27.0,,,20.73704655,106.891982,65
Radar,1165,13402.7,1.35789,62319694,0,0.0,,,20.73154027,106.9053057,72
Radar,1166,18047.6,1.49554,61729744,0,0.0,,,20.71828931,106.9523283,75
Radar,1167,18434.9,1.4662,61779763,0,0.0,,,20.72338987,106.9555708,80
Radar,1168,21191.2,1.57089,61869942,0,0.0,,,20.70608217,106.9830082,65
Radar,1169,22175.1,1.63076,61720007,0,0.0,,,20.69416231,106.9920743,17
Radar,1170,20295.5,1.68296,61680079,0,0.0,,,20.68569354,106.9731817,157
Radar,1171,23043.7,1.68893,62320220,1,2.0,,,20.68170268,106.9992562,45
Radar,1172,38847.7,1.76944,62320346,1,57412629117.0,,,20.63723367,107.1452349,57412629135
Radar,1173,37969.4,1.80119,62320409,1,55.0,,,20.62820993,107.1345016,82
Radar,1174,20941.5,1.94636,61680497,0,0.0,,,20.63709821,106.9665931,2
Radar,1175,67719.7,2.15017,62320956,1,2.0,,,20.37303738,107.3237095,65
Radar,1176,17392.9,2.24783,61680998,0,0.0,,,20.6082167,106.9096901,17
Radar,1177,25220.7,2.33806,61771161,0,0.0,,,20.548829,106.9538425,2
Radar,1178,5351.65,2.39256,61681206,0,0.0,,,20.67089276,106.8144959,12
Radar,1179,24716.3,2.46101,62311457,0,0.0,,,20.53353746,106.9288586,57411202330
Radar,1180,16617.1,2.64765,61681598,0,0.0,,,20.57466929,106.8551576,20
Radar,1181,26383.0,2.7753,61681812,0,0.0,,,20.48482087,106.8702452,17
Radar,1182,43694.6,2.91937,62312173,1,17.0,,,20.32323844,106.8719831,2
Radar,1183,28767.8,2.90177,61742040,0,0.0,,,20.45507171,106.8451224,2
Radar,1184,25598.0,2.9619,61682110,0,0.0,,,20.4798528,106.8234363,17
Radar,1185,29456.3,2.98238,61692155,0,0.0,,,20.44483743,106.8243483,17
Radar,1186,32058.1,3.13146,61712379,0,0.0,,,20.41813329,106.7826195,2
Radar,1187,1620.17,3.39155,62072888,0,0.0,,,20.69199813,106.7756512,32
Radar,1188,1919.04,3.42471,62082941,0,0.0,,,20.68954734,106.7743518,27
Radar,1189,6889.98,3.46657,61692970,0,0.0,,,20.64744617,106.7583736,95
Radar,1190,19241.0,1.44325,62169800,0,0.0,,,20.7280859,106.9627787,97
Radar,1191,29139.6,2.29484,61691041,0,0.0,,,20.53270228,106.9891376,2
Radar,1192,36298.8,2.29629,61691063,0,0.0,,,20.48974687,107.0403076,2
